,Bitcoin,SnP 500
2020-10-25,13031.173828125,
2020-10-26,13075.248046875,3400.969970703125
2020-10-27,13654.21875,3390.679931640625
2020-10-28,13271.28515625,3271.030029296875
2020-10-29,13437.8828125,3310.110107421875
2020-10-30,13546.5224609375,3269.9599609375
2020-10-31,13780.9951171875,
2020-11-01,13737.109375,
2020-11-02,13550.4892578125,3310.239990234375
2020-11-03,13950.30078125,3369.159912109375
2020-11-04,14133.70703125,3443.43994140625
2020-11-05,15579.8486328125,3510.449951171875
2020-11-06,15565.880859375,3509.43994140625
2020-11-07,14833.75390625,
2020-11-08,15479.5673828125,
2020-11-09,15332.3154296875,3550.5
2020-11-10,15290.90234375,3545.530029296875
2020-11-11,15701.33984375,3572.659912109375
2020-11-12,16276.34375,3537.010009765625
2020-11-13,16317.80859375,3585.14990234375
2020-11-14,16068.138671875,
2020-11-15,15955.587890625,
2020-11-16,16716.111328125,3626.909912109375
2020-11-17,17645.40625,3609.530029296875
2020-11-18,17804.005859375,3567.7900390625
2020-11-19,17817.08984375,3581.8701171875
2020-11-20,18621.314453125,3557.5400390625
2020-11-21,18642.232421875,
2020-11-22,18370.001953125,
2020-11-23,18364.12109375,3577.590087890625
2020-11-24,19107.46484375,3635.409912109375
2020-11-25,18732.12109375,3629.64990234375
2020-11-26,17150.623046875,
2020-11-27,17108.40234375,3638.35009765625
2020-11-28,17717.4140625,
2020-11-29,18177.484375,
2020-11-30,19625.8359375,3621.6298828125
2020-12-01,18802.998046875,3662.449951171875
2020-12-02,19201.091796875,3669.010009765625
2020-12-03,19445.3984375,3666.719970703125
2020-12-04,18699.765625,3699.1201171875
2020-12-05,19154.23046875,
2020-12-06,19345.12109375,
2020-12-07,19191.630859375,3691.9599609375
2020-12-08,18321.14453125,3702.25
2020-12-09,18553.916015625,3672.820068359375
2020-12-10,18264.9921875,3668.10009765625
2020-12-11,18058.904296875,3663.4599609375
2020-12-12,18803.65625,
2020-12-13,19142.3828125,
2020-12-14,19246.64453125,3647.489990234375
2020-12-15,19417.076171875,3694.6201171875
2020-12-16,21310.59765625,3701.169921875
2020-12-17,22805.162109375,3722.47998046875
2020-12-18,23137.9609375,3709.409912109375
2020-12-19,23869.83203125,
2020-12-20,23477.294921875,
2020-12-21,22803.08203125,3694.919921875
2020-12-22,23783.029296875,3687.260009765625
2020-12-23,23241.345703125,3690.010009765625
2020-12-24,23735.94921875,3703.06005859375
2020-12-25,24664.791015625,
2020-12-26,26437.037109375,
2020-12-27,26272.294921875,
2020-12-28,27084.80859375,3735.360107421875
2020-12-29,27362.4375,3727.0400390625
2020-12-30,28840.953125,3732.0400390625
2020-12-31,29001.720703125,3756.070068359375
2021-01-01,29374.15234375,
2021-01-02,32127.267578125,
2021-01-03,32782.0234375,
2021-01-04,31971.9140625,3700.64990234375
2021-01-05,33992.4296875,3726.860107421875
2021-01-06,36824.36328125,3748.139892578125
2021-01-07,39371.04296875,3803.7900390625
2021-01-08,40797.609375,3824.679931640625
2021-01-09,40254.546875,
2021-01-10,38356.44140625,
2021-01-11,35566.65625,3799.610107421875
2021-01-12,33922.9609375,3801.18994140625
2021-01-13,37316.359375,3809.840087890625
2021-01-14,39187.328125,3795.5400390625
2021-01-15,36825.3671875,3768.25
2021-01-16,36178.140625,
2021-01-17,35791.27734375,
2021-01-18,36630.07421875,
2021-01-19,36069.8046875,3798.909912109375
2021-01-20,35547.75,3851.85009765625
2021-01-21,30825.69921875,3853.070068359375
2021-01-22,33005.76171875,3841.469970703125
2021-01-23,32067.642578125,
2021-01-24,32289.37890625,
2021-01-25,32366.392578125,3855.360107421875
2021-01-26,32569.849609375,3849.6201171875
2021-01-27,30432.546875,3750.77001953125
2021-01-28,33466.09765625,3787.3798828125
2021-01-29,34316.38671875,3714.239990234375
2021-01-30,34269.5234375,
2021-01-31,33114.359375,
2021-02-01,33537.17578125,3773.860107421875
2021-02-02,35510.2890625,3826.31005859375
2021-02-03,37472.08984375,3830.169921875
2021-02-04,36926.06640625,3871.739990234375
2021-02-05,38144.30859375,3886.830078125
2021-02-06,39266.01171875,
2021-02-07,38903.44140625,
2021-02-08,46196.46484375,3915.590087890625
2021-02-09,46481.10546875,3911.22998046875
2021-02-10,44918.18359375,3909.8798828125
2021-02-11,47909.33203125,3916.3798828125
2021-02-12,47504.8515625,3934.830078125
2021-02-13,47105.515625,
2021-02-14,48717.2890625,
2021-02-15,47945.05859375,
2021-02-16,49199.87109375,3932.590087890625
2021-02-17,52149.0078125,3931.330078125
2021-02-18,51679.796875,3913.969970703125
2021-02-19,55888.1328125,3906.7099609375
2021-02-20,56099.51953125,
2021-02-21,57539.9453125,
2021-02-22,54207.3203125,3876.5
2021-02-23,48824.42578125,3881.3701171875
2021-02-24,49705.33203125,3925.429931640625
2021-02-25,47093.8515625,3829.340087890625
2021-02-26,46339.76171875,3811.14990234375
2021-02-27,46188.453125,
2021-02-28,45137.76953125,
